route,title,url,checkedAt
"luzern.pilatusplatz","SBB official station plan, edition 05/2026","https://company.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-luzern-a4.pdf","2026-09-13"
"luzern.pilatusplatz","Recorded 14 September 2026 journey and planner transfer budget","https://transport.opendata.ch/v1/connections?from=8573022&to=Z%C3%BCrich%20HB&date=2026-09-14&time=08%3A00&limit=4","2026-09-13"
"luzern.pilatusplatz","OpenStreetMap public street and station geometry snapshot","https://api.openstreetmap.org/api/0.6/map.json?bbox=8.3030,47.0470,8.3110,47.0510","2026-09-13"
"luzern.pilatusplatz","VBL construction notice, including Pilatusstrasse pavement closure","https://www.vbl.ch/ueber-vbl/aktuelles/detail/bau-der-neuen-durchmesserperrons-am-bahnhof-luzern/","2026-09-13"
"zug.metalli","SBB official station plan, edition 03/2026","https://company.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-zug-a4.pdf","2026-09-13"
"zug.metalli","Recorded 14 September 2026 journey and planner transfer budget","https://transport.opendata.ch/v1/connections?from=8502781&to=Z%C3%BCrich%20HB&date=2026-09-14&time=08%3A00&limit=4","2026-09-13"
"zug.metalli","OpenStreetMap public street and station geometry snapshot","https://api.openstreetmap.org/api/0.6/map.json?bbox=8.5140,47.1723,8.5175,47.1750","2026-09-13"
"zug.metalli","ZVB official Metalli/Bahnhof departure page","https://www.zvb.ch/fahrplan-nach-haltestelle/ab-2781/?cHash=430eae186ecf2ed2716a09668a33e133","2026-09-13"
"thun.klosestrasse","SBB official station plan, edition 12/2025","https://company.sbb.ch/content/dam/infrastruktur/trafimage/bahnhofplaene/plan-thun-a4.pdf","2026-09-13"
"thun.klosestrasse","Recorded 14 September 2026 journey and planner transfer budget","https://transport.opendata.ch/v1/connections?from=8591913&to=Z%C3%BCrich%20HB&date=2026-09-14&time=08%3A00&limit=4","2026-09-13"
"thun.klosestrasse","OpenStreetMap public street and station geometry snapshot","https://api.openstreetmap.org/api/0.6/map.json?bbox=7.6270,46.7528,7.6305,46.7564","2026-09-13"
